Unnamed: 0,pokedex_number,name,german_name,japanese_name,generation,is_sub_legendary,is_legendary,is_mythical,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,num,types,genderRatio,baseStats,abilities,heightm,weightkg,color,evos,eggGroups,prevo,evoLevel,otherFormes,formeOrder,canGigantamax,baseSpecies,forme,requiredItem,changesFrom,evoType,gender,gen,evoItem,evoCondition,canHatch,evoMove,tags,baseForme,cosmeticFormes,maxHP,requiredAbility,battleOnly,requiredMove,requiredItems,// TODO,cannotDynamax,pokestarsmeargle,tier
14,11,"""metapod""",Safcon,トランセル (Transel),1,0,0,0,Cocoon Pokémon,1,Bug,,0.7,9.9,1,Shed Skin,,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,120.0,70.0,72.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11,"[""Bug""]",,"{hp: 50, atk: 20, def: 55, spa: 25, spd: 25, spe: 30}","{0: ""Shed Skin""}",0.7,9.9,"""Green""","[""Butterfree""]","[""Bug""]","""Caterpie""",7,,,,,,,,,,,,,,,,,,,,,,,,,,"""NFE"""
15,12,"""butterfree""",Smettbo,バタフリー (Butterfree),1,0,0,0,Butterfly Pokémon,2,Bug,Flying,1.1,32.0,2,Compound Eyes,,Tinted Lens,395.0,60.0,45.0,50.0,90.0,80.0,70.0,45.0,70.0,178.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,12,"[""Bug"", ""Flying""]",,"{hp: 60, atk: 45, def: 50, spa: 90, spd: 80, spe: 70}","{0: ""Compound Eyes"", H: ""Tinted Lens""}",1.1,32,"""White""",,"[""Bug""]","""Metapod""",10,,,"""G-Max Befuddle""",,,,,,,,,,,,,,,,,,,,,,,"""(PU)"""
16,13,"""weedle""",Hornliu,ビードル (Beedle),1,0,0,0,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195.0,40.0,35.0,30.0,20.0,20.0,50.0,255.0,70.0,39.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,13,"[""Bug"", ""Poison""]",,"{hp: 40, atk: 35, def: 30, spa: 20, spd: 20, spe: 50}","{0: ""Shield Dust"", H: ""Run Away""}",0.3,3.2,"""Brown""","[""Kakuna""]","[""Bug""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
17,14,"""kakuna""",Kokuna,コクーン (Cocoon),1,0,0,0,Cocoon Pokémon,2,Bug,Poison,0.6,10.0,1,Shed Skin,,,205.0,45.0,25.0,50.0,25.0,25.0,35.0,120.0,70.0,72.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,14,"[""Bug"", ""Poison""]",,"{hp: 45, atk: 25, def: 50, spa: 25, spd: 25, spe: 35}","{0: ""Shed Skin""}",0.6,10,"""Yellow""","[""Beedrill""]","[""Bug""]","""Weedle""",7,,,,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
18,15,"""beedrill""",Bibor,スピアー (Spear),1,0,0,0,Poison Bee Pokémon,2,Bug,Poison,1.0,29.5,2,Swarm,,Sniper,395.0,65.0,90.0,40.0,45.0,80.0,75.0,45.0,70.0,178.0,Medium Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,15,"[""Bug"", ""Poison""]",,"{hp: 65, atk: 90, def: 40, spa: 45, spd: 80, spe: 75}","{0: ""Swarm"", H: ""Sniper""}",1,29.5,"""Yellow""",,"[""Bug""]","""Kakuna""",10,"[""Beedrill-Mega""]","[""Beedrill"", ""Beedrill-Mega""]",,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
20,16,"""pidgey""",Taubsi,ポッポ (Poppo),1,0,0,0,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251.0,40.0,45.0,40.0,35.0,35.0,56.0,255.0,70.0,50.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,16,"[""Normal"", ""Flying""]",,"{hp: 40, atk: 45, def: 40, spa: 35, spd: 35, spe: 56}","{0: ""Keen Eye"", 1: ""Tangled Feet"", H: ""Big Pecks""}",0.3,1.8,"""Brown""","[""Pidgeotto""]","[""Flying""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
21,17,"""pidgeotto""",Tauboga,ピジョン (Pigeon),1,0,0,0,Bird Pokémon,2,Normal,Flying,1.1,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349.0,63.0,60.0,55.0,50.0,50.0,71.0,120.0,70.0,122.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,17,"[""Normal"", ""Flying""]",,"{hp: 63, atk: 60, def: 55, spa: 50, spd: 50, spe: 71}","{0: ""Keen Eye"", 1: ""Tangled Feet"", H: ""Big Pecks""}",1.1,30,"""Brown""","[""Pidgeot""]","[""Flying""]","""Pidgey""",18,,,,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
22,18,"""pidgeot""",Tauboss,ピジョット (Pigeot),1,0,0,0,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479.0,83.0,80.0,75.0,70.0,70.0,101.0,45.0,70.0,216.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,18,"[""Normal"", ""Flying""]",,"{hp: 83, atk: 80, def: 75, spa: 70, spd: 70, spe: 101}","{0: ""Keen Eye"", 1: ""Tangled Feet"", H: ""Big Pecks""}",1.5,39.5,"""Brown""",,"[""Flying""]","""Pidgeotto""",36,"[""Pidgeot-Mega""]","[""Pidgeot"", ""Pidgeot-Mega""]",,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
24,19,"""rattata""",Rattfratz,コラッタ (Koratta),1,0,0,0,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,70.0,51.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,19,"[""Normal""]",,"{hp: 30, atk: 56, def: 35, spa: 25, spd: 35, spe: 72}","{0: ""Run Away"", 1: ""Guts"", H: ""Hustle""}",0.3,3.5,"""Purple""","[""Raticate""]","[""Field""]",,,"[""Rattata-Alola""]","[""Rattata"", ""Rattata-Alola""]",,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
26,20,"""raticate""",Rattikarl,ラッタ (Ratta),1,0,0,0,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413.0,55.0,81.0,60.0,50.0,70.0,97.0,127.0,70.0,145.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,"[""Normal""]",,"{hp: 55, atk: 81, def: 60, spa: 50, spd: 70, spe: 97}","{0: ""Run Away"", 1: ""Guts"", H: ""Hustle""}",0.7,18.5,"""Brown""",,"[""Field""]","""Rattata""",20,"[""Raticate-Alola"", ""Raticate-Alola-Totem""]","[""Raticate"", ""Raticate-Alola"", ""Raticate-Alola-Totem""]",,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
28,21,"""spearow""",Habitak,オニスズメ (Onisuzume),1,0,0,0,Tiny Bird Pokémon,2,Normal,Flying,0.3,2.0,2,Keen Eye,,Sniper,262.0,40.0,60.0,30.0,31.0,31.0,70.0,255.0,70.0,52.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,21,"[""Normal"", ""Flying""]",,"{hp: 40, atk: 60, def: 30, spa: 31, spd: 31, spe: 70}","{0: ""Keen Eye"", H: ""Sniper""}",0.3,2,"""Brown""","[""Fearow""]","[""Flying""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
29,22,"""fearow""",Ibitak,オニドリル (Onidrill),1,0,0,0,Beak Pokémon,2,Normal,Flying,1.2,38.0,2,Keen Eye,,Sniper,442.0,65.0,90.0,65.0,61.0,61.0,100.0,90.0,70.0,155.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,22,"[""Normal"", ""Flying""]",,"{hp: 65, atk: 90, def: 65, spa: 61, spd: 61, spe: 100}","{0: ""Keen Eye"", H: ""Sniper""}",1.2,38,"""Brown""",,"[""Flying""]","""Spearow""",20,,,,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
30,23,"""ekans""",Rettan,アーボ (Arbo),1,0,0,0,Snake Pokémon,1,Poison,,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,288.0,35.0,60.0,44.0,40.0,54.0,55.0,255.0,70.0,58.0,Medium Fast,2,Dragon,Field,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,23,"[""Poison""]",,"{hp: 35, atk: 60, def: 44, spa: 40, spd: 54, spe: 55}","{0: ""Intimidate"", 1: ""Shed Skin"", H: ""Unnerve""}",2,6.9,"""Purple""","[""Arbok""]","[""Field"", ""Dragon""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
31,24,"""arbok""",Arbok,アーボック (Arbok),1,0,0,0,Cobra Pokémon,1,Poison,,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,448.0,60.0,95.0,69.0,65.0,79.0,80.0,90.0,70.0,157.0,Medium Fast,2,Dragon,Field,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,24,"[""Poison""]",,"{hp: 60, atk: 95, def: 69, spa: 65, spd: 79, spe: 80}","{0: ""Intimidate"", 1: ""Shed Skin"", H: ""Unnerve""}",3.5,65,"""Purple""",,"[""Field"", ""Dragon""]","""Ekans""",22,,,,,,,,,,,,,,,,,,,,,,,,,,"""Illegal"""
32,25,"""pikachu""",Pikachu,ピカチュウ (Pikachu),1,0,0,0,Mouse Pokémon,1,Electric,,0.4,6.0,2,Static,,Lightning Rod,320.0,35.0,55.0,40.0,50.0,50.0,90.0,190.0,70.0,112.0,Medium Fast,2,Fairy,Field,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,25,"[""Electric""]",,"{hp: 35, atk: 55, def: 40, spa: 50, spd: 50, spe: 90}","{0: ""Static"", H: ""Lightning Rod""}",0.4,6,"""Yellow""","[""Raichu"", ""Raichu-Alola""]","[""Field"", ""Fairy""]","""Pichu""",,"[""Pikachu-Cosplay"", ""Pikachu-Rock-Star"", ""Pikachu-Belle"", ""Pikachu-Pop-Star"", ""Pikachu-PhD"", ""Pikachu-Libre"", ""Pikachu-Original"", ""Pikachu-Hoenn"", ""Pikachu-Sinnoh"", ""Pikachu-Unova"", ""Pikachu-Kalos"", ""Pikachu-Alola"", ""Pikachu-Partner"", ""Pikachu-Starter"", ""Pikachu-World""]",[,"""G-Max Volt Crash""",,,,,"""levelFriendship""",,,,,,,,,,,,,,,,,,"""NFE"""
34,26,"""raichu""",Raichu,ライチュウ (Raichu),1,0,0,0,Mouse Pokémon,1,Electric,,0.8,30.0,2,Static,,Lightning Rod,485.0,60.0,90.0,55.0,90.0,80.0,110.0,75.0,70.0,218.0,Medium Fast,2,Fairy,Field,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,26,"[""Electric""]",,"{hp: 60, atk: 90, def: 55, spa: 90, spd: 80, spe: 110}","{0: ""Static"", H: ""Lightning Rod""}",0.8,30,"""Yellow""",,"[""Field"", ""Fairy""]","""Pikachu""",,"[""Raichu-Alola""]","[""Raichu"", ""Raichu-Alola""]",,,,,,"""useItem""",,,"""Thunder Stone""",,,,,,,,,,,,,,,"""(PU)"""
36,27,"""sandshrew""",Sandan,サンド (Sand),1,0,0,0,Mouse Pokémon,1,Ground,,0.6,12.0,2,Sand Veil,,Sand Rush,300.0,50.0,75.0,85.0,20.0,30.0,40.0,255.0,70.0,60.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,27,"[""Ground""]",,"{hp: 50, atk: 75, def: 85, spa: 20, spd: 30, spe: 40}","{0: ""Sand Veil"", H: ""Sand Rush""}",0.6,12,"""Yellow""","[""Sandslash""]","[""Field""]",,,"[""Sandshrew-Alola""]","[""Sandshrew"", ""Sandshrew-Alola""]",,,,,,,,,,,,,,,,,,,,,,,,"""LC"""
38,28,"""sandslash""",Sandamer,サンドパン (Sandpan),1,0,0,0,Mouse Pokémon,1,Ground,,1.0,29.5,2,Sand Veil,,Sand Rush,450.0,75.0,100.0,110.0,45.0,55.0,65.0,90.0,70.0,158.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,28,"[""Ground""]",,"{hp: 75, atk: 100, def: 110, spa: 45, spd: 55, spe: 65}","{0: ""Sand Veil"", H: ""Sand Rush""}",1,29.5,"""Yellow""",,"[""Field""]","""Sandshrew""",22,"[""Sandslash-Alola""]","[""Sandslash"", ""Sandslash-Alola""]",,,,,,,,,,,,,,,,,,,,,,,,"""PU"""
41,30,"""nidorina""",Nidorina,ニドリーナ (Nidorina),1,0,0,0,Poison Pin Pokémon,1,Poison,,0.8,20.0,3,Poison Point,Rivalry,Hustle,365.0,70.0,62.0,67.0,55.0,55.0,56.0,120.0,70.0,128.0,Medium Slow,1,Undiscovered,,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,30,"[""Poison""]",,"{hp: 70, atk: 62, def: 67, spa: 55, spd: 55, spe: 56}","{0: ""Poison Point"", 1: ""Rivalry"", H: ""Hustle""}",0.8,20,"""Blue""","[""Nidoqueen""]","[""Undiscovered""]","""Nidoran-F""",16,,,,,,,,,"""F""",,,,,,,,,,,,,,,,,"""NFE"""
42,31,"""nidoqueen""",Nidoqueen,ニドクイン (Nidoqueen),1,0,0,0,Drill Pokémon,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505.0,90.0,92.0,87.0,75.0,85.0,76.0,45.0,70.0,227.0,Medium Slow,1,Undiscovered,,0.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,31,"[""Poison"", ""Ground""]",,"{hp: 90, atk: 92, def: 87, spa: 75, spd: 85, spe: 76}","{0: ""Poison Point"", 1: ""Rivalry"", H: ""Sheer Force""}",1.3,60,"""Blue""",,"[""Undiscovered""]","""Nidorina""",,,,,,,,,"""useItem""","""F""",,"""Moon Stone""",,,,,,,,,,,,,,,"""UU"""
44,33,"""nidorino""",Nidorino,ニドリーノ (Nidorino),1,0,0,0,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365.0,61.0,72.0,57.0,55.0,55.0,65.0,120.0,70.0,128.0,Medium Slow,2,Field,Monster,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,33,"[""Poison""]",,"{hp: 61, atk: 72, def: 57, spa: 55, spd: 55, spe: 65}","{0: ""Poison Point"", 1: ""Rivalry"", H: ""Hustle""}",0.9,19.5,"""Purple""","[""Nidoking""]","[""Monster"", ""Field""]","""Nidoran-M""",16,,,,,,,,,"""M""",,,,,,,,,,,,,,,,,"""NFE"""
45,34,"""nidoking""",Nidoking,ニドキング (Nidoking),1,0,0,0,Drill Pokémon,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505.0,81.0,102.0,77.0,85.0,75.0,85.0,45.0,70.0,227.0,Medium Slow,2,Field,Monster,100.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,34,"[""Poison"", ""Ground""]",,"{hp: 81, atk: 102, def: 77, spa: 85, spd: 75, spe: 85}","{0: ""Poison Point"", 1: ""Rivalry"", H: ""Sheer Force""}",1.4,62,"""Purple""",,"[""Monster"", ""Field""]","""Nidorino""",,,,,,,,,"""useItem""","""M""",,"""Moon Stone""",,,,,,,,,,,,,,,"""UU"""
